IOBR,Gene
CD_8_T_effector,CD8A/GZMA/GZMB/IFNG/CXCL9/CXCL10/PRF1/TBX21
DDR,UNG/SMUG1/MBD4/OGG1/MUTYH/NTHL1/MPG/NEIL1/NEIL2/NEIL3/APEX1/APEX2/LIG3/XRCC1/PNKP/APLF/PARP1/PARP2/PARP3/MGMT/ALKBH2/ALKBH3/TDP1/TDP2/MSH2/MSH3/MSH6/MLH1/PMS2/MSH4/MSH5/MLH3/PMS1/XPC/RAD23B/CETN2/RAD23A/XPA/DDB1/DDB2/RPA1/RPA2/RPA3/ERCC3/ERCC2/GTF2H1/GTF2H2/GTF2H3/GTF2H4/GTF2H5/CDK7/CCNH/MNAT1/ERCC5/ERCC1/ERCC4/LIG1/ERCC8/ERCC6/UVSSA/XAB2/MMS19/RAD51/RAD51B/RAD51D/DMC1/XRCC2/XRCC3/RAD52/RAD54L/RAD54B/BRCA1/SHFM1/RAD50/MRE11A/NBN/RBBP8/MUS81/EME1/EME2/GEN1/FANCA/FANCB/FANCC/BRCA2/FANCD2/FANCE/FANCF/FANCG/FANCI/BRIP1/FANCL/FANCM/PALB2/RAD51C/XRCC6/XRCC5/PRKDC/LIG4/XRCC4/DCLRE1C/NHEJ1/NUDT1/DUT/RRM2B/POLB/POLG/POLD1/POLE/PCNA/REV3L/MAD2L2/POLH/POLI/POLQ/POLK/POLL/POLM/POLN/FEN1/FAN1/TREX1/EXO1/APTX/ENDOV/UBE2A/UBE2B/RAD18/SHPRH/HLTF/RNF168/SPRTN/RNF8/RNF4/UBE2V2/UBE2N/H2AFX/CHAF1A/SETMAR/BLM/WRN/RECQL4/ATM/DCLRE1A/DCLRE1B/RPA4/PRPF19/RECQL/RECQL5/HELQ/RDM1/ATR/ATRIP/MDC1/RAD1/RAD9A/HUS1/RAD17/CHEK1/CHEK2/TP53/TP53BP1/RIF1/TOPBP1/CLK2/PER1
APM,B2M/HLA-A/HLA-B/HLA-C/TAP1/TAP2
Immune_Checkpoint,CD274/PDCD1LG2/CTLA4/PDCD1/LAG3/HAVCR2/TIGIT
CellCycle_Reg,ATM/CDKN1A/CDKN2A/MDM2/TP53/CCND1/RB1/CCNE1/FBXW7/E2F3
Pan_F_TBRs,ACTA2/ACTG2/ADAM12/ADAM19/CNN1/COL4A1/CTGF/CTPS1/FAM101B/FSTL3/HSPB1/IGFBP3/PXDC1/SEMA7A/SH3PXD2A/TAGLN/TGFBI/TNS1/TPM1
Histones,HIST1H2AI/HIST1H2AG/HIST1H2BL/HIST2H2BF
EMT1,CLDN3/CLDN7/CLDN4/CDH1/VIM/TWIST1/ZEB1/ZEB2
EMT2,AXL/ROR2/WNT5A/LOXL2/TWIST2/TAGLN/FAP
EMT3,SOX9/TWIST1/FOXF1/ZEB1/ZEB2/GATA6
WNT_target,EFNB3/MYC/TCF12/VEGFA
FGFR3_related,FGFR3/TP63/WNT7B
Cell_cycle,CDK2/CDK4/CDK6/CDK7/CDKN1A/CDKN1B/STAG1/CDKN1C/CDKN2A/CDKN2B/CDKN2C/CDKN2D/ANAPC10/MAD2L2/STAG2/PTTG2/GADD45G/DBF4/YWHAQ/CHEK1/CHEK2/CREBBP/GADD45A/E2F1/E2F2/E2F3/E2F4/E2F5/EP300/ORC6/ORC3/CDC26/ABL1/ANAPC13/SMC1B/SFN/GSK3B/ANAPC2/ANAPC4/HDAC1/HDAC2/MAD2L1/SMAD2/SMAD3/SMAD4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/MDM2/MYC/GADD45B/ATM/ORC1/ORC2/ORC4/ORC5/PCNA/FZR1/ANAPC5/ANAPC7/ANAPC11/PLK1/ATR/PRKDC/RAD21/RB1/RBL1/RBL2/CCND1/ANAPC1/SKP1/SKP2/BUB1/BUB1B/TFDP1/TFDP2/TGFB1/TGFB2/TGFB3/TP53/TTK/WEE1/YWHAB/YWHAE/YWHAG/YWHAH/YWHAZ/ZBTB17/SMC1A/CDC7/CDC45/MAD1L1/CUL1/CCNB3/CDC14B/CDC14A/CDC23/CDC16/CCNA2/CCNA1/CCNB1/CCND2/CCND3/CCNE1/CCNH/PKMYT1/SMC3/CCNB2/CCNE2/BUB3/PTTG1/ESPL1/CDK1/CDC6/CDC20/CDC25A/CDC25B/CDC25C/CDC27/RBX1
Mismatch_Repair,POLD3/MLH3/MSH6/RPA4/LIG1/MLH1/MSH2/MSH3/PCNA/PMS2/POLD1/POLD2/POLD4/RFC1/RFC2/RFC3/RFC4/RFC5/RPA1/RPA2/RPA3/SSBP1/EXO1
Homologous_recombination,RAD50/POLD3/EME1/RAD54B/RPA4/MRE11A/NBN/POLD1/POLD2/POLD4/RAD51/RAD51C/RAD51B/RAD51D/RAD52/RPA1/RPA2/RPA3/BLM/SSBP1/BRCA2/TOP3A/XRCC2/XRCC3/SHFM1/MUS81/RAD54L/TOP3B
Nucleotide_excision_repair,CDK7/CETN2/POLD3/ERCC8/DDB1/DDB2/ERCC1/ERCC2/ERCC3/ERCC4/ERCC5/ERCC6/GTF2H1/GTF2H2/GTF2H3/GTF2H4/RPA4/LIG1/GTF2H5/MNAT1/PCNA/POLE3/POLD1/POLD2/POLE/POLE2/POLE4/POLD4/RAD23A/RAD23B/RFC1/RFC2/RFC3/RFC4/RFC5/RPA1/RPA2/RPA3/XPA/XPC/CUL4B/CUL4A/CCNH/RBX1
DNA_replication,RNASEH2A/POLD3/DNA2/FEN1/POLA2/RNASEH1/RPA4/LIG1/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/PCNA/POLE3/POLA1/POLD1/POLD2/POLE/POLE2/PRIM1/PRIM2/POLE4/POLD4/RFC1/RFC2/RFC3/RFC4/RFC5/RPA1/RPA2/RPA3/SSBP1/RNASEH2B/RNASEH2C
Base_excision_repair,PARP2/PARP3/POLD3/PARP1/PARP4/FEN1/SMUG1/NEIL2/APEX2/POLL/HMGB1/APEX1/LIG1/LIG3/MPG/MUTYH/NTHL1/OGG1/PCNA/POLE3/POLB/POLD1/POLD2/POLE/POLE2/NEIL3/POLE4/POLD4/UNG/XRCC1/NEIL1/MBD4
TMEscoreA_CIR,HLA-DPB1/UBD/LOC100509457/WARS/TAP1/HLA-DMA/TRIM22/PSAT1/CXCL10/SOCS3/CXCL9/PBK/CCL4/CCL5/BCL2A1/TRBC1/IDO1/NFE2L3/CCL3L3/DTL/MMP9/SLC2A3/ZNF367/RCC1/STIL/TRAC/HELLS/GZMB/RTEL1-TNFRSF6B/CXCL11/GBP5/CD2/CDCA2/CDT1/TNFAIP2/TYMP/MICB/SLC2A14/GZMK/CD8A/CENPH/MND1/BATF2/BRIP1/E2F7/KIF18A/AIM2/ETV7/ITK/GNLY/GPR171/WDHD1/GBP4/MB21D1/NLRP3/MCEMP1/POLR3G/NLRC3/KLRC2/CLEC5A/ARHGAP11A/GPR84/IFNG/ZBED2
TMEscoreB_CIR,DCN/SEPP1/ACTA2/SPARCL1/BEX3/MYLK/AKR1C1/TIMP2/MXRA7/C11orf96/CAV1/PDGFRA/FHL1/MGP/EID1/LOC101930400/DST/GREM1/FERMT2/TNC/CYBRD1/LTBP1/ACTG2/TMEM47/SERPINE2/ANTXR2/GNG11/TAGLN/GSTA4/PKIG/MAOA/PTRF/FAM3B/PBX1/WLS/SELM/SVIL/MYH11/AGT/SPON1/TGFB1I1/PDLIM3/PDK4/SYNPO2/MSRB3/PROS1/EDNRA/AKAP12/PSD3/TNS1/JAM3/PDZRN3/DDR2/HMGCS2/SGCE/MRVI1/WFDC1/FBLN1/FMO5/MAOB/AMOTL1/AKT3/CNRIP1/CPE/MAP1B/RBP1/GNAI1/FOXF2/SORBS2/ZCCHC24/ZNF704/ARMCX1/DIXDC1/SSTR1/THRB/C3orf70/PKIB/CNN1/SYTL5/DACT1/SYNPO/GAS1/DPYSL3/CCDC80/TSPYL5/DCHS1/SOBP/AOC3/NDN/FGF7P3/SMAD9/MCC/CLMP/MYL9/RBP4/PLN/SPOCK1/COL14A1/CRYAB/SRPX/EML1/RERG/PPP1R3C/LOC100506718/CH25H/HSPB8/PID1/TTC28/STON1/ABCG2/ZSCAN18/SCIN/C14orf132/TMEM55A/WASF3/PAPLN/COLEC12/ACKR1/TMEM150C/RAI2/TSPAN7/MRGPRF/ABCA8/CHIC1/NBEA/FAM13C/SETBP1/LDOC1/TMEM100/LOC101930349/PRICKLE2/TSPAN18/FABP4/ARHGEF26/ERICH5/MYOCD/BEX2/PPP1R14A/FGF13/RUNX1T1/MAGI2-AS3/LINC01279/REEP1/PLAC9/MYEF2/PRKD1/RGN/CLDN11/ANK2/ESRRG/SYNC/ZNF667-AS1/FGF7/SFRP1/HMCN1/TCEAL7/OGN/MAGI2/MIR100HG/FILIP1/LOC100507334/ANKRD6/PLEKHH2/ZNF542P/ARMCX4/NOV/DCLK1/ARHGAP28/C2orf40/TRHDE/EPHA7/SCRG1/ZNF677/ZFPM2/PEG3/SERP2/ZNF415/MAMDC2/RBM24/MEOX2
CD8_Rooney_et_al,CD8A/CD8B/GZMA/GZMB/PRF1
B_cells_Rooney_et_al,CD79B/BTLA/FCRL3/BANK1/CD79A/BLK/RALGPS2/FCRL1/HVCN1/BACH2
Treg_Rooney_et_al,FOXP3/C15orf53/IL5/CTLA4/IL32/GPR15/IL4
Macrophages_Rooney_et_al,FUCA1/MMP9/LGMN/HS3ST2/TM4SF19/CLEC5A/GPNMB/C11orf45/CD68/CYBB
Neutrophils_Rooney_et_al,KDM6B/HSD17B11/EVI2B/MNDA/MEGF9/SELL/NLRP12/PADI4/TRANK1/VNN3
NK_cells_Rooney_et_al,KLRF1/KLRC1
pDCs_Rooney_et_al,LILRA4/CLEC4C/PLD4/PHEX/IL3RA/PTCRA/IRF8/IRF7/GZMB/CXCR3
MHC_Class_I_Rooney_et_al,HLA-A/B2M/TAP1
Co_stimulation_APC_Rooney_et_al,ICOSLG/CD70/TNFSF14/CD40/TNFSF9/TNFSF4/TNFSF15/TNFSF18/TNFSF8/SLAMF1/CD58
Co_stimulation_T_cell_Rooney_et_al,ICOS/CD28/CD27/TNFSF14/CD40LG/TNFRSF9/TNFRSF4/TNFRSF25/TNFRSF18/TNFRSF8/SLAMF1/CD2/CD226
Co_inhibition_APC_Rooney_et_al,PDCD1LG2/CD274/C10orf54/LGALS9/PVRL3
Co_inhibition_T_cell_Rooney_et_al,LAG3/CTLA4/CD274/CD160/BTLA/C10orf54/LAIR1/HAVCR2/CD244/TIGIT
Type_I_IFN_Reponse_Rooney_et_al,MX1/TNFSF10/RSAD2/IFIT1/IFIT3/IFIT2/IRF7/DDX4/MX2/ISG20
Type_II_IFN_Reponse_Rooney_et_al,GPR146/SELP/AHR
Cytolytic_Activity_Rooney_et_al,GZMA/PRF1
MHC_Class_I,HLA-A/HLA-B/HLA-C/HLA-E/HLA-F/HLA-G/HLA-H/HLA-J/HLA-K/HLA-L/TAP1/TAP2/LMP2/LMP7
MHC_Class_II,HLA-DRA/HLA-DRB1/HLA-DRB2/HLA-DRB3/HLA-DRB4/HLA-DRB5/HLA-DRB6/HLA-DRB7/HLA-DRB8/HLA-DRB9/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DQB3/HLA-DPA1/HLA-DPA2/HLA-DPB1/HLA-DPB2
T_cell_inflamed_GEP_Ayers_et_al,CD3D/IDO1/CIITA/CD3E/CCL5/GZMK/CXCL10/STAT1/GZMB/IL2RG/NKG7/HLA-E/CXCR6/LAG3/TAGAP/CD2/HLA-DRA/CXCL13
IFNG_signature_Ayers_et_al,IDO1/CXCL10/CXCL9/HLA-DRA/STAT1/IFNG
MDSC_Wang_et_al,CCR2/CXCR4/CXCR2/ITGAM/ITGAX/ANPEP/CD14/FUT4/CD33/CD34/CD38/ENTPD1/PTPRC/CEACAM8/CD80/CSF1R/IL4R/CSF3/CSF2/CXCL8/CCL2/TNF/CXCL12/S100A8/S100A9/STAT1/STAT3/STAT5A/ARG1/NOS2/CD274/TLR3/TLR4/TGFB1/IL10/FOXP3/IDO1/PDCD1
GPAGs,ANG/CXCL12/C3/CX3CR1/CDC42/TGFBR2/CTNNB1/CCR2/CAV1/PTGS2/SRPK2/IL1B/CYR61/KLF4/CASP8/SCG2/EGR3/JUN/TNFSF12/NR4A1/KRIT1/CYSLTR1/FGF10/HHEX/ROCK1/GPX1/EMCN/S1PR1/ECSCR/PLCD3
PPAGs,ADAM15/GPR56/ERBB2/VEGFA/GPI/MYH9/SPHK1/COL4A1/MED1/RBM15/ADAM8/CXCL17/IL18/WNT7B/EPHB3/ROCK2/SHB/ITGA5/COL4A2/ANGPT2/E2F7/ADM2/NAA15/TNFRSF1A/PGF/PLXDC1/TGFBR1
HLA_signature_gene,CD74/HLA-DRA/HLA-DPB1/HLA-DMB/HLA-DPA1/IL12RB1/HLA-DRB1/HLA-DOA/CIITA/HLA-F/IL2RG/PTPN7/PSMB9/SELPLG/GBP5/SASH3/IL2RB/SLA2/HCST/ARHGAP9/PTPRC/CYBB/PRF1/TAGAP/PTPN22/ITGAL/CCL5/CD53/NCKAP1L/MYO1G/CD3E/ITGB2/RASGRP1/CD7/CD247/HAVCR2/DOCK2/PDCD1/SPI1/TRAF3IP3/CD84/CD37/TNFSF13B/UBASH3A/TBX21/IL21R/CD3G/ACAP1/SPOCK2/CD226/IKZF1/HCP5/SLAMF6/LYZ/HLA-DRB6/SP140/NLRC3/FOXP3/CCR5/CYTH4/SLA/SLAMF8/HLA-DOB/LILRB4/CXCL10/PLEK/SAMSN1/CST7/LAIR1/CD48/GZMB/BIN2/BTK/DOK2/CRTAM/CD2/CXCR3/CXCL9/CYTIP/SNX20/ZBP1/UBD/IFI30/C1QA/ZAP70/IRF8/EVI2B/TIGIT/AOAH/TBC1D10C/CCL4/NKG7/SLAMF1/GZMA/1-Sep/RNASE6/LILRB1/CD3D/CD27/SIGLEC10/IL4I1/TRAT1/WDFY4/ITK/TNFRSF9/SIRPG/NCF1/RUNX3/C1QC/SECTM1/DENND1C/HLA-DRB3/CD52/CD6/C1QB/IL10RA/CXCR6/CD300LF/SH2D1A/RHOH/CD8A/JAKMIP1/CD38/GPR174/TFEC/SLFN12L/FASLG/THEMIS/FYB/PLA2G2D/EPSTI1/SIGLEC1/CTLA4/MAP4K1/PYHIN1/SPN/RARRES3/ICOS/CD5/GPR132/ZC3H12D/IL2RA/SCIMP/BIRC3/NCF1C/CSF2RB/KLRK1/TLR8/PIK3AP1/ZNF831/CXorf21/EVI2A/SAMD3/SUSD3/GZMK/GZMH/KLRD1/NCR1/IL32/TTC24/CD180/BTLA/FCRL3/PDCD1LG2/LTB/CXCL13/GPR171/CXCL11/IRF4/SIT1/EOMES/CD80/P2RY10/TNIP3/SCML4/KIR2DL4/ITGAX/LAX1/HLA-DQB2/SLAMF7/LY9/VNN2/CD28/GNLY/ABCD2/IDO1/TNFSF8/ADAMDEC1/CCR2/FUT7/CLEC6A/CR1L/LAG3/IL18RAP/KLRC3/CXorf65/KCNA3/PVRIG/KLRC4/SIGLEC7/TNFRSF13B/CCR4/TIFAB/LOC102724424/ARRDC5/GZMM/IL7R/GPR114/CXCR2P1/LTA/NAPSB/GPR183/KLRC1/HEATR9/GPR18/ZNF683/BATF2/CLNK/RGL4/FCGR1A/FCGR3A/IFNG/TARP/CD40LG/CCR8/CLEC4E/LOC100996809/CD79A/CLECL1/HK3/TOX/KLRB1/TSPAN32/CCR6/DCANP1/HLA-DRB4/CR1/SPATC1/TNFAIP8L2-SCNM1/CD19/IL12RB2/MZB1/KIAA0125/FCRL5/TTC16/IGJ/KLRC2/NCR3/CD79B/TNFRSF17/CHRNA6/TNFRSF8/GAPT/C11orf21/ANKRD36BP2/LOC101060789/IL12B/CASP1P2/LOC100293211/TLR10/CCL3/CXCR5/IGLL5/LOC100505564/KIR3DX1/LOC102724850/CCL4L1/BCL2A1/C4orf50/SPIB/STAP1/CLEC10A/RGS1/IFI44L/POU2AF1/TNFRSF18/NCF1B/HLA-DQA2/DTHD1/TVP23A/ZBED2/LOC102723407/LILRA6/FCRL2/ZBTB32/FCRL4/FCRL1/CD69/ELK2AP/LGALS2/KCNJ10/LOC100509457/FCGR1B/CD22/DNAJC5B/FAIM3/BLK/FLT3/LOC102725426/LOC102725018/ITGAD/JSRP1/ANTXRLP1/LINC00173/NUGGC/CCL18/MS4A1/HLA-DQB1/CCL19/NLRP6/LOC283710/TBC1D27/CADM3/KLRC4-KLRK1/CLEC4C/KIR3DL2/CARD17/CD8B/OR52N4/OR56B1/TSHR/AMPD1/CCL8/LILRA4/TRABD2A/FCGR1C/ANKRD29/CCL23/CR2/CLEC17A/FCER2/PAX5/FPR2/OLR1/CHI3L2/PTGDS/ANKRD55/CRB2/TCL1A/GP1BA/FADS6/KRT86/FAM129C/CCL4L2/CNR2/MMP9/HTR3A/COL4A4/CHI3L1/CCL21/EEF1A2/FSTL4/VPREB3/PNCK/DNASE1L3/FMO2/CHIT1/TMPRSS3/OR2L5/COL4A3/SLITRK6/SERPINA1/RSPO3/SLC12A3/FDCSP/BTBD16/PDZK1IP1/FMO1/RARRES1/MARCO/KLHDC7B/MMP7/KRT81/GDPD2/LTF/INA/PTPRR/MUC16/GREM1/SLC7A4/FGFR3/PLEKHS1/IGF2/FXYD2/CDH8/SHH/L1CAM/DHRS2/TOX3/GABRP/MSLN/ANXA10/SFRP2/MROH2A/GPX2/COL9A1/PHGR1/LPA/CLCA4/SPOCK3/SFRP4/MYT1/CRTAC1/TFF1/HMGCS2/SNTG1
PPARgama_target_genes,LPL/CD36/FATP1/FATP4/PEPCK/GK/PLIN/ADSF/CAP/IRS2/GLUT4
B_cells_Danaher_et_al,BLK/CD19/MS4A1/TNFRSF17/FCRL2/KIAA0125/PNOC/SPIB/TCL1A
CD45_Danaher_et_al,PTPRC
CD8_T_cells_Danaher_et_al,CD8A/CD8B
Cytotoxic_cells_Danaher_et_al,CTSW/GNLY/GZMA/GZMB/GZMH/KLRB1/KLRD1/KLRK1/PRF1/NKG7
DC_Danaher_et_al,CCL13/CD209/HSD11B1
Exhausted_CD8_Danaher_et_al,CD244/EOMES/LAG3/PTGER4
Macrophages_Danaher_et_al,CD163/CD68/CD84/MS4A4A
Mast_cells_Danaher_et_al,MS4A2/TPSAB1/CPA3/HDC/TPSB2
Neutrophils_Danaher_et_al,CSF3R/S100A12/CEACAM3/FCAR/FCGR3B/FPR1/SIGLEC5
NK_CD56dim_cells_Danaher_et_al,IL21R/KIR2DL3/KIR3DL1/KIR3DL2
NK_cells_Danaher_et_al,NCR1/XCL2/XCL1
T_cells_Danaher_et_al,CD3D/CD3E/CD3G/CD6/SH2D1A/TRAT1
Th1_cells_Danaher_et_al,TBX21
Treg_Danaher_et_al,FOXP3
TIP_Release_of_cancer_cell_antigens,IL10/TGFB1/HMGB1/ANXA1/CALR/CXCL10/PDIA3/HSPA1A/HSPA1B/HSPA2/HSPA8/HSPA4/HSPA14/HSPA5/HSPA6/HSPA9/HSPA13/HSPA7/HSPA12A/HSPA12B/HSP90AA1/HSP90AB1/HSP90B1/IFNA2/IFNA1/IFNA13/IFNA6/IFNA21/IFNA4/IFNA8/IFNA5/IFNA7/IFNA14/IFNA16/IFNA10/IFNA17/IFNB1/IFNE/IFNW1
TIP_Cancer_antigen_presentation_1,TNF/IL1A/IL1B/IFNA2/IFNA1/IFNA13/IFNA6/IFNA21/IFNA4/IFNA8/IFNA5/IFNA7/IFNA14/IFNA16/IFNA10/IFNA17/CD40LG/CD40/NT5C/HMGB1/TLR1/TLR2/TLR3/TLR4/TLR5/TLR6/TLR7/TLR8/TLR9/TLR10/HLAA/B2M/TAP1/IL10/IL4/IL13
TIP_Cancer_antigen_presentation_2,IL10/IL4/IL13
TIP_Priming_and_activation_1,CD3D/CD3E/CD3G/CD247/CD28/TNFRSF9/TNFSF9/TNFRSF4/TNFSF4/CD27/CD70/TNFRSF14/TNFSF14/CD40/CD40LG/TNFRSF18/TNFSF18/TNFRSF25/TNFSF15/TNFRSF8/TNFSF8/HAVCR1/TIMD4/SLAMF7/SLAMF6/SLAMF1/SLAMF9/SLAMF8/CD2/CD48/CD58/CD226/ICOS/ICOSLG/KLRK1/MICA/MICB/RAET1E/RAET1G/CRTAM/CADM1/CTLA4/PDCD1/PDCD1LG2/CD274/CD160/BTLA/VSIR/LAIR1/HAVCR2/LGALS9/CD244/TIGIT/NECTIN3/LAG3/IL2/IL12A/IL12B
TIP_Priming_and_activation_2,CTLA4/PDCD1/PDCD1LG2/CD274/CD160/TNFRSF14/BTLA/VSIR/LAIR1/HAVCR1/HAVCR2/LGALS9/TIMD4/CD244/CD48/TIGIT/NECTIN3/LAG3/IL2/IL12A/IL12B
TIP_Trafficking_of_immune_cells_to_tumors,CXCR5/CXCL13/CCL24/CCL26/CCL19/CX3CL1/CXCL16/CCR5/CXCR3/CXCL10/CXCL9/CCL20/CXCL11/CCR7/CCL3/CCL4/CCL5/CCL21/CCL11/CSF1/CCL2/CXCR2/CXCL5/CCL7/CXCL1/CXCL2/CXCL3/CXCL8/CXCL6/CCR6/CXCL12/CXCR4/CCL1/CCL17/CCL22/CCR4/CCR10/CCL28
TIP_Infiltration_of_immune_cells_into_tumors_1,STAT1/IRF5/KLF2/ITGB2/ICAM1/EZH2/DNMT1/VEGFA/EDNRB
